ID;Startzeit;Fertigstellungszeit;E-Mail;Name;"Wie ist Ihre Probanden-ID?
";"Wie ist ihr Alter?
";Geschlecht;"Dominante Hand
";"Wie ist Ihre bisherige Erfahrungen mit immersiven Geräten? 
";"Wie ist ihre bisherige Erfahrung mit Controllern, z. B. VR-Controller, XBox, Wii oder Playstation-Controller?
";Wie einfach war es immersive Technologie zu nutzen?;"Wie einfach war es die AR zu benutzen?
";Wie einfach war es die VR zu benutzen?;"Was hat mir besonders gut an den immersiven Technologien gefallen?
";"Was war problematisch bei der Benutzung?
";"Ich könnte mir vorstellen, bei meiner täglichen Arbeit ausschließlich immersive Technologie zu  benutzen und damit auf PC, Smartphone und Tablet zu verzichten.
";"Ich fühle mich bei der Verwendung von immersiven Technologien unsicher, weil ...
";"Was würde mich von der erneuten Nutzung eines immersiven Geräts abhalten?
";Ich kann mir sehr gut vorstellen, das System regelmäßig zu nutzen.;Ich empfinde das System als unnötig komplex.;Ich empfinde das System als einfach zu nutzen.;Ich denke, dass ich technischen Support brauchen würde, um das System zu nutzen.;Ich finde, dass die verschiedenen Funktionen des Systems gut integriert sind.;Ich finde, dass es im System zu viele Inkonsistenzen gibt.;Ich kann mir vorstellen, dass die meisten Leute das System schnell zu beherrschen lernen.;Ich empfinde die Bedienung als sehr umständlich.;Ich habe mich bei der Nutzung des Systems sehr sicher gefühlt.;Ich musste eine Menge Dinge lernen, bevor ich mit dem System arbeiten konnte.;Column;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;Ich kann mir sehr gut vorstellen, das System regelmäßig zu nutzen.2;Ich empfinde das System als unnötig komplex.2;Ich empfinde das System als einfach zu nutzen.2;Ich denke, dass ich technischen Support brauchen würde, um das System zu nutzen.2;Ich finde, dass die verschiedenen Funktionen des Systems gut integriert sind.2;Ich finde, dass es im System zu viele Inkonsistenzen gibt.2;Ich kann mir vorstellen, dass die meisten Leute das System schnell zu beherrschen lernen.2;Ich empfinde die Bedienung als sehr umständlich.2;Ich habe mich bei der Nutzung des Systems sehr sicher gefühlt.2;Ich musste eine Menge Dinge lernen, bevor ich mit dem System arbeiten konnte.2;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88
14;2.10.23 13:49:04;2.10.23 14:04:20;anonymous;;A12;30-40;männlich;rechts;Mehr als 10 Stunden;Mehr als 10 Stunden;9;7;10;Darstellung von komplexen Inhalten und die Interaktion ;Größe , beschränktes Sichtfeld, Kontrast bei hololense;Nein;Eigentlich nicht. Aber nicht für die Entwicklung geeignet. Nur für die Visualisierungen/ Erprobung und test;Nichts;Ich weiß nicht;Eher nein;Eher ja;Nein;Eher ja;Eher nein;Ich weiß nicht;Eher nein;Eher ja;Nein;unterstützend;einfach;effizient;;;interessant;konventionell;;;einfach;effizient;übersichtlich;;;;;unterstützend;;effizient;;;interessant;;;unterstützend;einfach;effizient;übersichtlich;;interessant;;;unterstützend;;;übersichtlich;;;;;Eher ja;Eher nein;Ja;Nein;Ja;Nein;Ich weiß nicht;Nein;Ja;Nein;unterstützend;einfach;effizient;übersichtlich;;;;;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;;;unterstützend;;effizient;übersichtlich;;;;;unterstützend;einfach;effizient;übersichtlich;;;;;unterstützend;;;;;interessant;;;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;;
15;2.10.23 15:36:17;2.10.23 15:49:52;anonymous;;A13;30-40;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;6;3;8;Die Immersion :) VR: Also voll in die fremde Welt einzutauchen und Dinge tun zu können, die man im Alltag nicht so (schnell) tun kann. AR: 'holographische' Einblendungen im Raum;Die Hololens reagiert sehr störrisch, Gesten werden nicht erkannt oder nur sehr ungenau abgelesen. Ruckeliges Bild, es war nicht so geschmeidig, man wusste nicht sofort ob eine Interaktion erfolgreich war oder nicht.;Nein;;Die technischen Probleme bei der Hololens machen mich in die Richtung unsicher :) Aber wenn die Performance stimmt bleibe ich offen.;Nein;Eher ja;Nein;Eher ja;Nein;Eher ja;Nein;Ja;Nein;Ja;;kompliziert;;;;;;;;kompliziert;ineffizient;verwirrend;;;;;;;;;spannend;interessant;originell;;;;;;;;;;;;;;;;;;Ja;Nein;Ja;Eher nein;Ja;Nein;Eher ja;Nein;Ja;Eher nein;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;originell;;unterstützend;;effizient;;;interessant;;;unterstützend;einfach;;;spannend;interessant;;;unterstützend;einfach;effizient;übersichtlich;;;;;unterstützend;einfach;effizient;übersichtlich;;;;;unterstützend;einfach;effizient;;spannend;interessant;originell;neuartig
16;2.10.23 16:53:58;2.10.23 17:04:50;anonymous;;A14;25-30;männlich;rechts;Mehr als 10 Stunden;Mehr als 10 Stunden;8;6;9;Die Überlagerung der echten Welt mit der aufmontierten Welt im ar Headset sowie das eintauchen in die virtuelle Welt ;Insbesondere bei den handgesten in ar war die Eingabe mit dem air tap sehr fehleranfällig und es wurde schlecht reagiert. Weiterhin fehlte ein Haptisches Feedback ;Ja ;Nein;Nichts:);Eher nein;Eher nein;Eher ja;Nein;Eher ja;Eher nein;Ja;Eher nein;Eher ja;Eher nein;unterstützend;einfach;ineffizient;übersichtlich;;;konventionell;;;einfach;effizient;;;interessant;;;;;;;;;;;behindernd;kompliziert;ineffizient;übersichtlich;langweilig;;;;unterstützend;;ineffizient;übersichtlich;;interessant;originell;;Eher ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;unterstützend;einfach;effizient;übersichtlich;;;;;unterstützend;einfach;;;;;;;unterstützend;einfach;effizient;übersichtlich;;interessant;originell;herkömmlich;;;;verwirrend;;;;;unterstützend;einfach;effizient;;;;;;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;;
17;2.16.23 10:03:42;2.16.23 10:48:46;anonymous;;A15;25-30;männlich;links;Bis zu 10 Stunden;Bis zu 10 Stunden;8;8;8;nach kurzer Eingewöhnungszeit sehr intuitiv zu benutzen. ;Icons aus großer Entfernung bei zittriger Hand schwierig zu treffen. Icons im freien Raum bei gegriffenem und großen Gegenstand nur schwer zu lesen. --> evtl. Pop-up Menü als alternative;nein, Gewicht auf Dauer störend --> Druckpunkte;Gefahrenquellen im Alltag nicht frühzeitig erkennbar;Punkt 12 & 13;Ja;Nein;Ja;Nein;Eher nein;Eher ja;Eher ja;Eher nein;Eher ja;Eher nein;;;effizient;;;;originell;;;einfach;;übersichtlich;;;;;unterstützend;einfach;effizient;;;;;;;einfach;;übersichtlich;;;;;unterstützend;;effizient;;;;;;Ja;Nein;Eher ja;Nein;Eher nein;Eher ja;Eher ja;Eher nein;Eher ja;Nein;;einfach;;übersichtlich;;;;;;einfach;;übersichtlich;;;konventionell;;;;effizient;;;;;;;einfach;;übersichtlich;;;;;;;effizient;;;;;;unterstützend;einfach;effizient;übersichtlich;;;;neuartig
18;2.16.23 13:21:08;2.16.23 15:24:39;anonymous;;A16;18-25;weiblich;rechts;keinerlei Erfahrung;Bis zu 10 Stunden;7;;7;Wie schnell man die Anwendung versteht ;Manches war nicht ganz so intuitiv ;Ich weiß es nicht;ich es noch nie zuvor gemacht habe. ;Nichts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eher ja;Eher nein;Ja;Nein;Ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;;;;;spannend;;originell;neuartig;unterstützend;einfach;;übersichtlich;spannend;interessant;originell;neuartig;;;effizient;;spannend;interessant;originell;;unterstützend;;effizient;;spannend;interessant;originell;neuartig;;kompliziert;;;spannend;interessant;;neuartig;unterstützend;;effizient;übersichtlich;spannend;interessant;originell;neuartig
19;2.16.23 15:56:57;2.16.23 16:19:12;anonymous;;A18;18-25;männlich;rechts;keinerlei Erfahrung;Mehr als 10 Stunden;7;;7;;;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eher nein;Nein;Eher ja;Nein;Eher ja;Ich weiß nicht;Eher nein;Eher nein;Ja;Eher nein;;;;;;;;;;einfach;;;;;;;;;;;;;;;;;;;;;konventionell;;;;;;;;;;unterstützend;;effizient;übersichtlich;spannend;;;
20;2.16.23 16:05:34;2.16.23 16:21:18;anonymous;;A04;18-25;weiblich;rechts;keinerlei Erfahrung;keinerlei Erfahrung;7;8;6;It is very interactive and enjoyable;The field of view seemed too narrow and there was a lot of glare due to outside light;Nein;it might put a lot of strain in the eyes (specially the VR) and prolonged use might cause other health issues as well;I would like to use it again because it was fun but probably not as a replacement for my other electronic devices;Eher nein;Nein;Eher nein;Eher ja;Eher ja;Eher ja;Eher ja;Nein;Eher ja;Ich weiß nicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;Eher nein;Eher nein;Ich weiß nicht;Ja;Eher ja;Eher ja;Eher ja;Eher ja;Eher ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2.17.23 11:37:10;2.17.23 11:44:11;anonymous;;A19;40-50;weiblich;rechts;keinerlei Erfahrung;keinerlei Erfahrung;0;0;7;;Treffsicherheit der Cursor;gelegentlich;Realitätsbezug;nichts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eher ja;Eher nein;Eher ja;Ich weiß nicht;Ja;Eher nein;Ja;Eher nein;Eher ja;Eher nein;unterstützend;;;;spannend;;;;;;;;;;;;unterstützend;einfach;effizient;;;;;neuartig;unterstützend;einfach;effizient;;;;;neuartig;;;effizient;;spannend;;;neuartig;unterstützend;;effizient;;spannend;;;neuartig
22;2.17.23 14:17:15;2.17.23 14:33:56;anonymous;;A20;40-50;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;7;;7;;Kleine Elemente ;Nein;Nutzung ausschließlich im Stehen ;;;Eher nein;Eher ja;Ja;Eher ja;Nein;Ich weiß nicht;Eher nein;Ja;Eher nein;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;konventionell;herkömmlich;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;konventionell;herkömmlich;behindernd;kompliziert;ineffizient;verwirrend;langweilig;interessant;konventionell;herkömmlich;unterstützend;einfach;effizient;übersichtlich;langweilig;interessant;konventionell;herkömmlich;behindernd;kompliziert;ineffizient;verwirrend;langweilig;uninteressant;konventionell;herkömmlich;Ja;Nein;Eher ja;Eher ja;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Eher nein;unterstützend;einfach;effizient;übersichtlich;langweilig;interessant;konventionell;herkömmlich;unterstützend;einfach;effizient;übersichtlich;langweilig;interessant;konventionell;herkömmlich;behindernd;kompliziert;ineffizient;verwirrend;langweilig;uninteressant;konventionell;neuartig;unterstützend;einfach;effizient;übersichtlich;langweilig;interessant;konventionell;herkömmlich;behindernd;kompliziert;ineffizient;verwirrend;langweilig;uninteressant;konventionell;neuartig;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;originell;neuartig
23;2.17.23 15:27:56;2.17.23 15:35:56;anonymous;;A21;18-25;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;9;;9;Tragekomfort ;Knöpfe / Schaltflächen drücken ;Nein;;;Eher ja;Nein;Ja;Nein;Eher ja;Nein;Eher ja;Eher nein;Ja;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eher ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;übersichtlich;spannend;;originell;neuartig;unterstützend;einfach;effizient;;spannend;;originell;neuartig
24;2.17.23 17:06:53;2.17.23 17:13:20;anonymous;;A22;18-25;weiblich;rechts;keinerlei Erfahrung;Mehr als 10 Stunden;6;;9;Dad man in der Welt wirklich drinnenn ist;Teilweise war die Bedienung etwas schwierig, aber die meiste Zeit gut händelbar;Nein;;;Ja;Nein;Ja;Nein;Ja;Ich weiß nicht;Ja;Nein;Ja;Nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;;;;;spannend;interessant;;;unterstützend;einfach;effizient;übersichtlich;spannend;;originell;neuartig;;einfach;;übersichtlich;spannend;interessant;;;unterstützend;;;übersichtlich;;interessant;;herkömmlich;;;ineffizient;;;;;;;;;;spannend;interessant;originell;neuartig
25;2.20.23 11:32:43;2.20.23 12:46:04;anonymous;;A24;30-40;weiblich;rechts;keinerlei Erfahrung;keinerlei Erfahrung;6;5;7;Bewegungsfreiheit ;Schwer am Kopf, ohne Brille schwer zu lesen;Nein;Es ist etwas anstrengend, wenn man für längere Zeit es tragen muss;Wenn es persönlich gut angepasst ist, dann würde mich nichts abhalten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ich weiß nicht;Ich weiß nicht;Eher ja;Eher ja;Ich weiß nicht;Eher nein;Eher ja;Eher nein;Ich weiß nicht;Eher ja;;einfach;effizient;übersichtlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;2.20.23 16:05:13;2.20.23 16:20:37;anonymous;;A26;30-40;weiblich;rechts;keinerlei Erfahrung;Bis zu 10 Stunden;7;;7;ich habe sehr schnell ein Gefühl dafür bekommen, wie man mit den Schaltern anstatt Fingern arbeitet und gewöhnt sich gut und schnell daran;manchmal wusste ich nicht, für welches Ziel/Ergebnis ich welche Taste oder welchen Controllerteil benutzen muss;sicherlich nicht ausschließlich;"auch die Technik mal streiken kann, man benötigt spezielles KnowHow oder muss erst fragen, um einen Fehler in der Technik lösen zu können; das kostet Zeit und Wartezeiten entstehen; selber benötigt man sicherlich viel Zeit, um routiniert damit umgehen zu können, um selbstständig pot. auftretende Fehler beheben zu können";Anwendungszwecke für mein Arbeitsumfeld/Tätigkeiten? Für Privat gäbe es sicherlich mehr Gebrauchsmöglichkeiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ich weiß nicht;Eher ja;Eher nein;Ja;Ich weiß nicht;Ich weiß nicht;Eher ja;Eher nein;Eher ja;Nein;;einfach;;übersichtlich;;;;;;einfach;;;;;;;;;;;spannend;interessant;originell;neuartig;;;;;;;konventionell;;;;;;;;;;unterstützend;;;;;;;neuartig
